Brand,Title,Price_special,Price_regular
Oscillococcinum,"OSCILLOCOCCINUM, piliulės, vienadozė talpyklė, N6",N/A,N/A
RHINITIX,"RHINITIX, nosies purškalas, 10 ml",N/A,N/A
AMBIO,"AMBIO BRONCHO COMPLEX, 20 tablečių",N/A,N/A
Himalaya,Himalaya Koflet H Orange 2 x 6 pastilės,N/A,N/A
Coldrex,"COLDREX, tabletės, N24",N/A,N/A
Heel,"DROSERA-HOMACCORD, geriamieji lašai (tirpalas), 30 ml",N/A,N/A
Faringosept,"FARINGOSEPT, 10 mg, slėgtosios pastilės, N20",N/A,N/A
Hexoraletten N,"HEXORALETTEN N, 5 mg/1,5 mg, kietosios pastilės, N20",N/A,N/A
Isla,"ISLA MEDIC HYDRO+, 20 pastilių",N/A,N/A
Medistus,"MEDISTUS® ANTIVIRUS, pastilės medaus ir citrinų skonio, N10",N/A,N/A
Quixx,"QUIXX ACUTE, nosies purškalas, 100 ml",N/A,N/A
,"TRACHILID, 8 mg, 20 kietųjų pastilių",N/A,N/A
Himalaya,Himalaya Koflet H Lemon 2 x 6 pastilės,N/A,N/A
Apipro oral,"APIPRO oral burnos purškalas su propoliu, 20ml",N/A,N/A
